% This data file provides a summary of historical and projected future changes in the annual average 
% temperature for the country or region: 
% 
%    France
% 
% The historical data comes from Berkeley Earth's Land Temperature Dataset, http://www.berkeleyearth.org/
% 
% Future temperature projections are based on a range of scenarios used in the IPCC's Sixth Assessment Report.
% 
% The scenarios presented are:
% 
% * SSP1-2.6: which has significantly lower greenhouse gas emissions in the future and assumes net zero carbon 
%   dioxide worldwide by ~2080. Under this scenario, overall average global warming is expected to reach 
%   approximately 1.8°C by 2100.
% 
% * SSP2-4.5: an intermediate future emissions trajectory.  This assumes that modern emissions levels stay 
%   approximately consistent through 2050, before gradually declining.  Under this scenario, net zero is not 
%   reached by 2100, and global average warming is expected to have reached approximately 2.7°C by 2100 and 
%   still be rising.  Among the available scenarios, this is the closest to the world’s current behavior on 
%   emissions.
% 
% * SSP3-7.0: a high emissions, high warming scenario, that assumes the world not only fails to curtail 
%   greenhouse gas emissions, but that emissions continue to rise. Under this scenario, carbon dioxide 
%   emissions are assumed to double by 2100; average global temperatures would reach approximately 3.6°C 
%   above pre-industrial baseline, more than doubling current levels of warming.
% 
% In general, land areas are expected to warm faster than ocean areas in response to global warming.  As a
% result, the national average temperature time series presented here will nearly always show more warming
% than the corresponding global average in the same scenario.
% 
% For each future projection, a national average time series was extracted from the mean model temperature
% field and then a rescaling was performed to match model estimates of the past to observed historical data 
% from the same region.  This rescaling is necessary due to the low resolution of the climate model data.  
% In particular, apparent model outputs from territories with ocean coastlines tend too warm too slowly due 
% to a mixing of land and ocean values at the low resolution of the models.  Rescaling corrects for that 
% bias in the models, and ensures long-term model trends are consistent with the observational data during
% the historical period.
% 
% Each model scenario comes with some uncertainty regarding to future warming response to a given emissions
% trajectory; however, these uncertainties have been represented here.  Significantly though, the uncertainty
% regarding the amount of warming that will occur in the future is dominated about uncertainty regarding the 
% future of greenhouse gas emissions.  Human actions will determine how much greenhouse gas is emitted this
% century and thus are the most significant factor in determining the future warming trajectory
% 
% All temperatures are expressed in degrees C relative to a late 19th century baseline.
% 
%% Country: France
%% Short_Name: France
%% ISO_Code: FRA

% Year, Annual Average, Annual Average Uncertainty, 10-year Smooth, SSP1-2.6, SSP2-4.5, SSP3-7.0, Model Historical
1744	-0.31	1.51	NaN	NaN	NaN	NaN	NaN
1745	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1746	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1747	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1748	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1749	NaN	NaN	-0.16	NaN	NaN	NaN	NaN
1750	-0.09	NaN	-0.13	NaN	NaN	NaN	NaN
1751	-0.58	NaN	-0.12	NaN	NaN	NaN	NaN
1752	NaN	NaN	-0.11	NaN	NaN	NaN	NaN
1753	0.13	2.11	-0.11	NaN	NaN	NaN	NaN
1754	-0.03	2.15	-0.10	NaN	NaN	NaN	NaN
1755	-0.27	2.69	-0.10	NaN	NaN	NaN	NaN
1756	0.03	1.29	-0.10	NaN	NaN	NaN	NaN
1757	-0.13	2.89	-0.10	NaN	NaN	NaN	NaN
1758	-0.62	1.90	-0.11	NaN	NaN	NaN	NaN
1759	0.33	2.14	-0.13	NaN	NaN	NaN	NaN
1760	-0.12	2.03	-0.15	NaN	NaN	NaN	NaN
1761	-0.00	1.69	-0.18	NaN	NaN	NaN	NaN
1762	-0.41	2.50	-0.20	NaN	NaN	NaN	NaN
1763	-0.56	2.46	-0.23	NaN	NaN	NaN	NaN
1764	-0.07	1.45	-0.26	NaN	NaN	NaN	NaN
1765	-0.16	1.36	-0.28	NaN	NaN	NaN	NaN
1766	-0.32	1.48	-0.29	NaN	NaN	NaN	NaN
1767	-0.33	1.62	-0.29	NaN	NaN	NaN	NaN
1768	-0.41	2.52	-0.27	NaN	NaN	NaN	NaN
1769	-0.42	2.58	-0.24	NaN	NaN	NaN	NaN
1770	-0.49	2.42	-0.20	NaN	NaN	NaN	NaN
1771	-0.36	2.66	-0.14	NaN	NaN	NaN	NaN
1772	0.70	2.36	-0.08	NaN	NaN	NaN	NaN
1773	-0.13	1.91	-0.02	NaN	NaN	NaN	NaN
1774	0.05	2.24	0.03	NaN	NaN	NaN	NaN
1775	0.45	3.52	0.07	NaN	NaN	NaN	NaN
1776	-0.22	1.22	0.11	NaN	NaN	NaN	NaN
1777	-0.19	3.62	0.13	NaN	NaN	NaN	NaN
